City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
333,Marsa Matruh,EG,31.3525,27.2453,79.0,53,20,13.8,few clouds
334,Rawson,AR,-43.3002,-65.1023,62.85,38,0,8.34,clear sky
335,Rivadavia,AR,-33.1905,-68.4608,57.15,49,100,15.37,light rain
336,Tarrafal,CV,15.2833,-23.7667,86.79,76,14,5.59,few clouds
337,San Jose,US,37.3394,-121.895,58.75,92,75,0.0,mist
338,Mezen,RU,65.8522,44.24,45.36,96,80,5.68,broken clouds
339,Saint George,US,37.1041,-113.5841,66.79,36,0,5.75,clear sky
340,Grants Pass,US,42.439,-123.3284,57.49,86,0,0.0,clear sky
341,Saint-Leu,RE,-21.15,55.2833,72.46,74,27,0.94,scattered clouds
342,Alton,US,38.8906,-90.1843,67.26,59,98,1.99,overcast clouds
343,Chapais,CA,49.7834,-74.8492,51.58,94,100,6.08,overcast clouds
344,Maceio,BR,-9.6658,-35.7353,83.64,74,40,12.66,scattered clouds
345,Rincon,US,32.296,-81.2354,69.85,56,20,4.61,few clouds
346,Santa Fe,AR,-31.6333,-60.7,75.02,44,98,8.01,light rain
347,Aksarka,RU,66.5606,67.7975,34.61,88,61,7.14,broken clouds
348,Sao Felix Do Xingu,BR,-6.6447,-51.995,102.63,20,6,3.53,clear sky
349,Henties Bay,NA,-22.116,14.2845,58.53,80,16,13.78,few clouds
350,Korostyshiv,UA,50.3172,29.0563,53.8,74,100,6.98,overcast clouds
351,Khandbari,NP,27.3747,87.2039,68.67,87,90,3.83,overcast clouds
352,Ambon,ID,-3.6954,128.1814,75.34,94,20,10.36,few clouds
353,Georgiyevskoye,RU,58.731,45.024,47.41,92,100,6.04,overcast clouds
354,Pescia,IT,43.897,10.6904,81.86,51,4,4.0,clear sky
355,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,85,100,5.79,overcast clouds
356,Parrita,CR,9.5201,-84.3225,82.6,75,20,4.7,few clouds
357,Carballo,ES,43.213,-8.691,67.91,91,100,2.93,overcast clouds
358,Bulgan,MN,48.8125,103.5347,29.03,50,5,3.04,clear sky
359,Puerto Carreno,CO,6.189,-67.4859,85.98,70,40,0.0,scattered clouds
360,Kitui,KE,-1.367,38.0106,78.33,38,86,12.75,overcast clouds
361,Beringovskiy,RU,63.05,179.3167,42.82,92,100,22.48,light rain
362,Batemans Bay,AU,-35.7167,150.1833,56.1,93,100,8.1,light rain
363,Opuwo,NA,-18.0607,13.84,96.85,8,0,7.61,clear sky
364,Antsohihy,MG,-14.8796,47.9875,79.18,55,0,7.11,clear sky
365,Strezhevoy,RU,60.7333,77.5889,38.82,71,99,8.55,overcast clouds
366,Listvyagi,RU,53.6772,86.951,37.33,93,100,8.9,moderate rain
367,Kaitangata,NZ,-46.2817,169.8464,35.35,70,99,15.05,overcast clouds
368,Sychevka,RU,55.8252,34.2736,45.01,90,100,7.14,overcast clouds
369,Prince Rupert,CA,54.3161,-130.3201,59.09,85,100,24.16,light rain
370,Nanhai,CN,30.1282,111.7784,48.92,73,100,13.8,overcast clouds
371,Kulachi,PK,31.9286,70.4592,91.99,19,0,7.45,clear sky
372,Emporia,US,38.4039,-96.1817,68.9,45,93,7.25,overcast clouds
373,Bolobo,CD,-2.1667,16.2333,83.97,60,79,1.66,broken clouds
374,Manta,EC,-0.95,-80.7333,76.78,69,0,3.44,clear sky
375,Ostrovnoy,RU,68.0531,39.5131,47.08,91,100,11.5,overcast clouds
376,Severo-Kurilsk,RU,50.6789,156.125,43.86,64,50,23.58,scattered clouds
377,Vila Franca Do Campo,PT,37.7167,-25.4333,74.19,78,100,8.88,overcast clouds
378,Erzin,TR,36.9559,36.2,74.53,73,99,6.04,overcast clouds
379,Gallup,US,35.5281,-108.7426,45.36,93,20,0.0,mist
380,Dubti,ET,11.7361,41.0853,93.33,29,54,11.43,broken clouds
381,Nabire,ID,-3.3667,135.4833,75.88,93,64,3.6,broken clouds
382,Matamoros,MX,25.5333,-103.25,67.28,65,93,3.11,overcast clouds
383,Bolshoye Nagatkino,RU,54.5196,47.9679,52.79,85,99,9.04,overcast clouds
384,Vila Velha,BR,-20.3297,-40.2925,80.55,75,75,12.66,broken clouds
385,Dali,CN,25.7,100.1833,59.97,94,51,4.52,broken clouds
386,Tecoanapa,MX,16.5167,-98.75,80.55,73,38,2.39,scattered clouds
387,Hoopstad,ZA,-27.8327,25.9083,94.17,10,44,18.88,scattered clouds
388,Mildura,AU,-34.2,142.15,57.07,94,19,10.11,few clouds
389,Geraldton,AU,-28.7667,114.6,59.41,58,40,12.66,scattered clouds
390,Haapiti,PF,-17.5667,-149.8667,73.13,68,29,22.64,light rain
391,Ughelli,NG,5.4899,6.0074,82.71,77,100,6.93,moderate rain
392,Comodoro Rivadavia,AR,-45.8667,-67.5,57.06,38,0,16.11,clear sky
393,Batasan,PH,12.7667,120.7833,81.82,77,75,3.56,broken clouds
394,Trapani,IT,37.8333,12.6667,77.27,59,55,3.51,broken clouds
395,Viedma,AR,-40.8135,-62.9967,70.79,30,99,13.4,overcast clouds
396,Concordia,AR,-31.393,-58.0209,67.78,57,77,15.01,broken clouds
397,Aksu,CN,41.1231,80.2644,61.29,24,42,7.65,scattered clouds
398,Zhuhai,CN,22.2769,113.5678,85.86,84,40,16.11,scattered clouds
399,Ninghai,CN,29.2892,121.4247,65.57,82,100,4.09,overcast clouds
400,Igunga,TZ,-4.2833,33.8833,91.2,16,55,8.46,broken clouds
401,Ingham,US,42.6,-84.3833,65.43,63,0,0.0,clear sky
402,Scottsbluff,US,41.8666,-103.6672,53.29,70,0,5.99,clear sky
403,Olafsvik,IS,64.8945,-23.7142,44.46,68,100,12.73,light rain
404,Kutum,SD,14.2,24.6667,88.79,17,20,12.68,few clouds
405,Bethanien,NA,-26.502,17.1583,93.25,2,2,19.04,clear sky
406,Coquimbo,CL,-29.9533,-71.3436,56.93,82,75,8.05,broken clouds
407,Bandarbeyla,SO,9.4942,50.8122,78.28,81,74,24.07,broken clouds
408,Ivanivka,UA,46.7208,34.553,61.25,43,30,8.88,scattered clouds
409,Jadu,LY,31.953,12.0261,78.26,36,8,14.2,clear sky
410,Mehran,IR,33.1222,46.1646,93.85,12,0,13.2,clear sky
411,Corning,US,42.1428,-77.0547,61.72,63,31,6.08,scattered clouds
412,Marshall,US,34.3834,-86.3333,66.38,59,0,5.75,clear sky
413,Beloha,MG,-25.1667,45.05,78.51,48,0,10.89,clear sky
414,Torbay,CA,47.6666,-52.7314,61.88,66,20,17.27,few clouds
415,Atasu,KZ,48.6814,71.6433,49.55,29,4,9.46,clear sky
416,Kieta,PG,-6.2167,155.6333,78.78,82,94,3.6,overcast clouds
417,Bernardino De Campos,BR,-23.0131,-49.4742,80.13,53,0,3.65,clear sky
418,Bialystok,PL,53.1333,23.15,58.98,69,100,5.01,overcast clouds
419,Dunhua,CN,43.3725,128.2425,30.34,65,6,4.97,clear sky
420,Dubbo,AU,-32.25,148.6167,55.53,94,100,9.22,overcast clouds
421,Vanavara,RU,60.34,102.2797,27.18,84,17,4.09,few clouds
422,Gornopravdinsk,RU,60.05,69.9,43.34,94,100,4.99,overcast clouds
423,Tambacounda,SN,13.7539,-13.7586,95.05,55,40,9.22,scattered clouds
424,Janauba,BR,-15.8025,-43.3089,94.55,26,44,4.23,scattered clouds
425,Noshiro,JP,40.2039,140.0242,53.15,62,100,10.29,overcast clouds
426,Msanga,TZ,-6.05,36.0333,83.59,25,5,11.21,clear sky
427,Tulun,RU,54.5611,100.5792,33.51,71,100,5.08,overcast clouds
428,Ust-Nera,RU,64.5667,143.2,9.99,96,100,3.62,overcast clouds
